Category,Product Name,MRP,Selling Price,Discount%,Tag,Rating Count,Brand Name,Rating Count (K/M)
Baby Care,bronson professional white soap box,325,100,69,No Tag,17,Bronson,17
Baby Care,kayanara natural bristle dry brushing body,749,449,40,No Tag,6,Kayanara,6
Baby Care,mamaearth daily moisturizing baby lotion,499,449,10,No Tag,11376,Mamaearth,11.4K
Baby Care,sebamed children's shampoo,329,230,6,No Tag,2612,Sebamed,2.6K
Baby Care,mamaearth milky soft mineral based sunscreen,280,309,16,No Tag,633,Mamaearth,633
Baby Care,himalaya happy baby care gift,325,235,63,No Tag,474,Himalaya,474
Baby Care,bronson professional transparent waterproof portable soap,270,120,17,No Tag,20,Bronson,20
Baby Care,nat habit talc free natural kusha,199,224,25,No Tag,722,Nat,722
Baby Care,"sirona premium disposable maternity breast pads,",225,149,18,No Tag,415,Sirona,415
Baby Care,parachute advansed baby nourishing cream,1250,185,15,No Tag,178,Parachute,178
Baby Care,little rituals multi-vitamin hair & body,500,1063,10,No Tag,53,Little,53
Baby Care,"palmer's cocoa butter nursing butter,",299,450,21,No Tag,66,Palmers,66
Baby Care,sirona pregrx midstream one step urine,1900,236,7,No Tag,279,Sirona,279
Baby Care,cetaphil baby daily lotion,350,1767,14,No Tag,10521,Cetaphil,10.5K
Baby Care,himalaya gentle baby wash,249,301,5,No Tag,154,Himalaya,154
Baby Care,kazarmaa wet wipes tissue can,149,149,0,No Tag,8,Kazarmaa,8
Baby Care,mamaearth baby milky soft head to,237,237,0,No Tag,11,Mamaearth,11
Baby Care,mamaearth brave blueberry body wash,375,345,8,No Tag,703,Mamaearth,703
Baby Care,chicco gentle bodywash & shampoo,679,618,9,No Tag,4,Chicco,4
Baby Care,mamaearth baby powder organic oatmeal,665,199,40,No Tag,5330,Mamaearth,5.3K
Baby Care,kayanara natural bristle dry body brush,575,399,15,No Tag,6,Kayanara,6
Baby Care,little rituals cold pressed organic black,399,489,10,No Tag,2,Little,2
Baby Care,mamaearth baby rich moisturizing cream,285,359,18,No Tag,263,Mamaearth,263
Baby Care,chicco baby moment talcum powder,299,99,50,No Tag,192,Chicco,192
Baby Care,parachute advansed baby lotion,199,234,25,No Tag,140,Parachute,140
Baby Care,forest essentials dasapushpadi daily moisture lotion,779,1325,18,No Tag,46,Forest,46
Baby Care,gorgio professional multipurpose gold safety pins,895,150,15,No Tag,6,Gorgio,6
Baby Care,sirona sanitary disposal bags discreet,2750,149,23,No Tag,277,Sirona,277
Baby Care,baby forest sampoorna snan baby body,155,795,10,No Tag,15,BABY,15
Baby Care,chicco baby moments body lotion,199,639,12,No Tag,2,Chicco,2
Baby Care,little rituals cold pressed organic coconut,999,761,20,No Tag,21,Little,21
Baby Care,chicco baby moments baby perfume,125,499,18,No Tag,1611,Chicco,1.6K
Baby Care,whimsy safe & organic blossom beauty,2118,2118,0,No Tag,558,Whimsy,558
Baby Care,biotique bio aloe vera baby sun,140,140,0,No Tag,6,Biotique,6
Baby Care,"bella cotton pads, 100% cotton, double",175,175,0,No Tag,248,Bella,248
Baby Care,little rituals cold pressed organic coconut,895,761,15,No Tag,2,Little,2
Baby Care,chicco baby moments baby perfume,2750,499,23,No Tag,21,Chicco,21
Baby Care,whimsy safe & organic blossom beauty,155,2118,10,No Tag,1611,Whimsy,1.6K
Baby Care,biotique bio aloe vera baby sun,199,140,12,No Tag,558,Biotique,558
Baby Care,"bella cotton pads, 100% cotton, double",999,175,20,No Tag,6,Bella,6
Baby Care,whimsy beauty safe & organic mini,125,799,18,No Tag,248,Whimsy,248
Baby Care,keya seth aromatherapy soft & smooth,1500,103,10,No Tag,8,Keya,8
Baby Care,baby forest narial tailam organic cold,450,795,27,No Tag,6,BABY,6
Baby Care,johnson's gift extra large,795,1350,15,No Tag,5,Johnsons,5
Baby Care,plix kids bubble splash body wash,229,329,5,No Tag,12968,Plix,13.0K
Baby Care,johnson's baby skincare wipes,368,85,6,No Tag,11,Johnsons,11
Baby Care,tikitoro kids refreshing face wash,499,335,10,No Tag,23,TIKITORO,23
Baby Care,little rituals ray shield sunscreen spf,995,676,15,No Tag,718,Little,718
Baby Care,majestique small hair brush - detangling,399,218,25,No Tag,1393,Majestique,1.4K
Baby Care,johnson's baby soap buy 3 get,650,276,10,No Tag,299,Johnsons,299
Baby Care,chicco baby moments mild bodywash protect,266,449,17,No Tag,4,Chicco,4
Baby Care,little rituals baby bio body butter,846,846,0,No Tag,40,Little,40
Baby Care,whimsy beauty clean vibes foaming face,299,299,0,No Tag,12,Whimsy,12
Baby Care,minimalist baby provitamin d3 massage oil,599,569,5,No Tag,12,Minimalist,12
Baby Care,gritzo supermilk growth+ (formerly height+) (7-12y,399,1599,19,No Tag,27,Gritzo,27
Baby Care,renee cosmetics disney frozen princess popsicle,249,325,5,No Tag,1655,Renee,1.7K
Baby Care,mamaearth moisturizing baby bathing soap bar,625,237,10,No Tag,222,Mamaearth,222
Baby Care,palmer’s cocoa butter massage cream,76,563,14,No Tag,2764,Palmer’S,2.8K
Baby Care,himalaya baby care extra moisturizing baby,995,62,15,No Tag,2,Himalaya,2
Baby Care,little rituals daily barrier boost body,400,846,18,No Tag,4,Little,4
Baby Care,tuco kids lice buster shampoo,650,328,10,No Tag,212,TuCo,212
Baby Care,palmer's cocoa butter skin firming body,275,585,5,No Tag,2,Palmers,2
